"Part";"Value";"Device";"Package";"Description";"";
"C1";"100n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C2";"100µ";"CPOL-EUSMCD";"SMC_D";"POLARIZED CAPACITOR, European symbol";"";
"C3";"100n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C4";"2,2µ";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"C5";"220n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C6";"100n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"C7";"100µ";"CPOL-EUSMCD";"SMC_D";"POLARIZED CAPACITOR, European symbol";"";
"C8";"100n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"C9";"10n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"C10";"10n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"C11";"10n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"C12";"10n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"C13";"10n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"C14";"10n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"C15";"10n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"C16";"10n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"C17";"10µ";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C18";"10µ";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C19";"10µ";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C20";"10µ";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C21";"100µ";"CPOL-EUSMCD";"SMC_D";"POLARIZED CAPACITOR, European symbol";"";
"C22";"470n";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C23";"27p";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C24";"27p";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C25";"27p";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C26";"100n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"C27";"27p";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C28";"10µ";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
"C29";"10µ";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";
